Trans Date,Value Date,Description/Narration,Chq./Ref.No.,Debit(Dr.) INR,Credit(Cr.) INR,Balance INR
2024-05-01,2024-05-01,STLMT FOR AU QR 01/05/2024 VPA-1218878,16809,-,"27,814.00","41,542.50"
2024-05-01,2024-05-01,IMPS-412209345971-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,412209345971,"27,850.00",-,"13,692.50"
2024-05-01,2024-05-01,STLMT FOR AU QR 01/05/2024 VPA-1218878,15973,-,"71,533.00","85,225.50"
2024-05-01,2024-05-01,IMPS-412219383280-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,412219383280,"71,500.00",-,"13,725.50"
2024-05-02,2024-05-02,STLMT FOR AU QR 02/05/2024 VPA-1218878,17638,-,"28,021.00","41,746.50"
2024-05-02,2024-05-02,IMPS-412310404340-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,412310404340,"20,000.00",-,"21,746.50"
2024-05-02,2024-05-02,IMPS-412310404595-WEBFINEX TECHFUSION OPC PVT LTD-HDFC0003758-XXXXXXXXXX5687-PSP SETTLEMENT,412310404595,"8,000.00",-,"13,746.50"
2024-05-02,2024-05-02,STLMT FOR AU QR 02/05/2024 VPA-1218878,15928,-,"54,102.00","67,848.50"
2024-05-02,2024-05-02,IMPS-412320441052-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,412320441052,"50,158.00",-,"17,690.50"
2024-05-02,2024-05-02,IMPS-412320441084-WEBFINEX TECHFUSION OPC PVT LTD-HDFC0003758-XXXXXXXXXX5687-INTERNAL ACCOUNT TRANSFER,412320441084,"4,000.00",-,"13,690.50"
2024-05-03,2024-05-03,STLMT FOR AU QR 03/05/2024 VPA-1218878,16985,-,"22,362.00","36,052.50"
2024-05-03,2024-05-03,IMPS-412409458580-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,412409458580,"22,300.00",-,"13,752.50"
2024-05-03,2024-05-03,STLMT FOR AU QR 03/05/2024 VPA-1218878,16082,-,"57,244.00","70,996.50"
2024-05-03,2024-05-03,IMPS-412420498693-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,412420498693,"57,300.00",-,"13,696.50"
2024-05-04,2024-05-04,STLMT FOR AU QR 04/05/2024 VPA-1218878,17904,-,"23,014.00","36,710.50"
2024-05-04,2024-05-04,IMPS-412509512268-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,412509512268,"23,000.00",-,"13,710.50"
2024-05-04,2024-05-04,STLMT FOR AU QR 04/05/2024 VPA-1218878,16103,-,"36,361.00","50,071.50"
2024-05-05,2024-05-05,STLMT FOR AU QR 05/05/2024 VPA-1218878,17732,-,"18,693.00","68,764.50"
2024-05-05,2024-05-05,IMPS-412611567360-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,412611567360,"51,200.00",-,"17,564.50"
2024-05-05,2024-05-05,STLMT FOR AU QR 05/05/2024 VPA-1218878,19855,-,"56,780.00","74,344.50"
2024-05-05,2024-05-05,IMPS-412619584886-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,412619584886,"56,800.00",-,"17,544.50"
2024-05-06,2024-05-06,STLMT FOR AU QR 06/05/2024 VPA-1218878,14971,-,"22,366.00","39,910.50"
2024-05-06,2024-05-06,STLMT FOR AU QR 06/05/2024 VPA-1218878,16012,-,"46,447.00","86,357.50"
2024-05-06,2024-05-06,IMPS-412720638694-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,412720638694,"68,800.00",-,"17,557.50"
2024-05-07,2024-05-07,STLMT FOR AU QR 07/05/2024 VPA-1218878,17442,-,"13,617.00","31,174.50"
2024-05-07,2024-05-07,IMPS-412809652962-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,412809652962,"13,600.00",-,"17,574.50"
2024-05-07,2024-05-07,STLMT FOR AU QR 07/05/2024 VPA-1218878,15250,-,"46,219.00","63,793.50"
2024-05-08,2024-05-08,IMPS-412907701313-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,412907701313,"46,300.00",-,"17,493.50"
2024-05-08,2024-05-08,STLMT FOR AU QR 08/05/2024 VPA-1218878,17298,-,"45,907.00","63,400.50"
2024-05-08,2024-05-08,IMPS-412909704430-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,412909704430,"25,900.00",-,"37,500.50"
2024-05-08,2024-05-08,IMPS-412909704596-WEBFINEX TECHFUSION OPC PVT LTD-HDFC0003758-XXXXXXXXXX5687-INTERNAL ACCOUNT TRANSFER,412909704596,"20,000.00",-,"17,500.50"
2024-05-08,2024-05-08,STLMT FOR AU QR 08/05/2024 VPA-1218878,15866,-,"62,304.00","79,804.50"
2024-05-08,2024-05-08,IMPS-412919741174-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,412919741174,"62,300.00",-,"17,504.50"
2024-05-09,2024-05-09,STLMT FOR AU QR 09/05/2024 VPA-1218878,17265,-,"37,922.00","55,426.50"
2024-05-09,2024-05-09,IMPS-413009757522-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,413009757522,"37,900.00",-,"17,526.50"
2024-05-09,2024-05-09,STLMT FOR AU QR 09/05/2024 VPA-1218878,16347,-,"54,336.00","71,862.50"
2024-05-09,2024-05-09,IMPS-413020794814-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,413020794814,"54,300.00",-,"17,562.50"
2024-05-10,2024-05-10,STLMT FOR AU QR 10/05/2024 VPA-1218878,17861,-,"22,176.00","39,738.50"
2024-05-10,2024-05-10,IMPS-413109809971-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,413109809971,"22,200.00",-,"17,538.50"
2024-05-10,2024-05-10,STLMT FOR AU QR 10/05/2024 VPA-1218878,15668,-,"44,261.00","61,799.50"
2024-05-10,2024-05-10,IMPS-413120849269-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,413120849269,"44,300.00",-,"17,499.50"
2024-05-11,2024-05-11,STLMT FOR AU QR 11/05/2024 VPA-1218878,17556,-,"16,182.00","33,681.50"
2024-05-11,2024-05-11,STLMT FOR AU QR 11/05/2024 VPA-1218878,20137,-,"79,846.00","113,527.50"
2024-05-12,2024-05-12,STLMT FOR AU QR 12/05/2024 VPA-1218878,17470,-,"25,718.00","139,245.50"
2024-05-12,2024-05-12,IMPS-413308899207-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,413308899207,"121,700.00",-,"17,545.50"
2024-05-12,2024-05-12,STLMT FOR AU QR 12/05/2024 VPA-1218878,19646,-,"80,216.00","97,761.50"
2024-05-12,2024-05-12,IMPS-413318916504-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,413318916504,"80,200.00",-,"17,561.50"
2024-05-13,2024-05-13,STLMT FOR AU QR 13/05/2024 VPA-1218878,14340,-,"28,601.00","46,162.50"
2024-05-13,2024-05-13,STLMT FOR AU QR 13/05/2024 VPA-1218878,15372,-,"72,448.00","118,610.50"
2024-05-13,2024-05-13,IMPS-413419962422-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,413419962422,"101,100.00",-,"17,510.50"
2024-05-14,2024-05-14,STLMT FOR AU QR 14/05/2024 VPA-1218878,16910,-,"29,330.00","46,840.50"
2024-05-14,2024-05-14,IMPS-413511983763-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,413511983763,"29,350.00",-,"17,490.50"
2024-05-14,2024-05-14,STLMT FOR AU QR 14/05/2024 VPA-1218878,15216,-,"48,057.00","65,547.50"
2024-05-14,2024-05-14,IMPS-413520011611-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,413520011611,"48,000.00",-,"17,547.50"
2024-05-15,2024-05-15,STLMT FOR AU QR 15/05/2024 VPA-1218878,16935,-,"27,838.00","45,385.50"
2024-05-15,2024-05-15,IMPS-413609026091-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,413609026091,"27,800.00",-,"17,585.50"
2024-05-15,2024-05-15,STLMT FOR AU QR 15/05/2024 VPA-1218878,15402,-,"60,186.00","77,771.50"
2024-05-15,2024-05-15,IMPS-413622065955-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,413622065955,"60,200.00",-,"17,571.50"
2024-05-16,2024-05-16,STLMT FOR AU QR 16/05/2024 VPA-1218878,17105,-,"32,748.00","50,319.50"
2024-05-16,2024-05-16,STLMT FOR AU QR 16/05/2024 VPA-1218878,14900,-,"83,010.00","133,329.50"
2024-05-16,2024-05-16,IMPS-413719107053-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,413719107053,"115,800.00",-,"17,529.50"
2024-05-17,2024-05-17,STLMT FOR AU QR 17/05/2024 VPA-1218878,16953,-,"27,108.00","44,637.50"
2024-05-17,2024-05-17,IMPS-413808119269-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,413808119269,"27,100.00",-,"17,537.50"
2024-05-17,2024-05-17,STLMT FOR AU QR 17/05/2024 VPA-1218878,14962,-,"54,287.00","71,824.50"
2024-05-18,2024-05-18,IMPS-413908163169-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,413908163169,"54,300.00",-,"17,524.50"
2024-05-18,2024-05-18,STLMT FOR AU QR 18/05/2024 VPA-1218878,17076,-,"20,013.00","37,537.50"
2024-05-18,2024-05-18,STLMT FOR AU QR 18/05/2024 VPA-1218878,15231,-,"89,219.00","126,756.50"
2024-05-19,2024-05-19,IMPS-414007205183-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,414007205183,"109,200.00",-,"17,556.50"
2024-05-19,2024-05-19,STLMT FOR AU QR 19/05/2024 VPA-1218878,17429,-,"30,040.00","47,596.50"
2024-05-19,2024-05-19,STLMT FOR AU QR 19/05/2024 VPA-1218878,19630,-,"78,410.00","126,006.50"
2024-05-19,2024-05-19,IMPS-414020226323-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,414020226323,"106,500.00",-,"19,506.50"
2024-05-20,2024-05-20,STLMT FOR AU QR 20/05/2024 VPA-1218878,14012,-,"33,906.00","53,412.50"
2024-05-20,2024-05-20,IMPS-414109237716-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,414109237716,"33,970.00",-,"19,442.50"
2024-05-20,2024-05-20,STLMT FOR AU QR 20/05/2024 VPA-1218878,15130,-,"60,557.00","79,999.50"
2024-05-20,2024-05-20,IMPS-414120268577-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,414120268577,"60,500.00",-,"19,499.50"
2024-05-21,2024-05-21,STLMT FOR AU QR 21/05/2024 VPA-1218878,17021,-,"23,536.00","43,035.50"
2024-05-21,2024-05-21,IMPS-414209280457-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,414209280457,"23,500.00",-,"19,535.50"
2024-05-21,2024-05-21,STLMT FOR AU QR 21/05/2024 VPA-1218878,14815,-,"74,899.00","94,434.50"
2024-05-21,2024-05-21,IMPS-414221316544-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,414221316544,"74,900.00",-,"19,534.50"
2024-05-22,2024-05-22,STLMT FOR AU QR 22/05/2024 VPA-1218878,16609,-,"26,846.00","46,380.50"
2024-05-22,2024-05-22,STLMT FOR AU QR 22/05/2024 VPA-1218878,14970,-,"88,129.00","134,509.50"
2024-05-22,2024-05-22,IMPS-414320359324-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,414320359324,"11,500.00",-,"123,009.50"
2024-05-22,2024-05-22,IMPS-414320359444-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,414320359444,"103,500.00",-,"19,509.50"
2024-05-23,2024-05-23,STLMT FOR AU QR 23/05/2024 VPA-1218878,16824,-,"21,341.00","40,850.50"
2024-05-23,2024-05-23,STLMT FOR AU QR 23/05/2024 VPA-1218878,14351,-,"99,537.00","140,387.50"
2024-05-23,2024-05-23,IMPS-414420399004-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,414420399004,"120,900.00",-,"19,487.50"
2024-05-24,2024-05-24,STLMT FOR AU QR 24/05/2024 VPA-1218878,16058,-,"36,704.00","56,191.50"
2024-05-24,2024-05-24,STLMT FOR AU QR 24/05/2024 VPA-1218878,14604,-,"64,959.00","121,150.50"
2024-05-24,2024-05-24,IMPS-414520442390-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,414520442390,"101,700.00",-,"19,450.50"
2024-05-25,2024-05-25,STLMT FOR AU QR 25/05/2024 VPA-1218878,4409,-,"27,470.00","46,920.50"
2024-05-25,2024-05-25,STLMT FOR AU QR 25/05/2024 VPA-1218878,16711,-,"71,713.00","118,633.50"
2024-05-25,2024-05-25,IMPS-414620480415-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,414620480415,"99,100.00",-,"19,533.50"
2024-05-26,2024-05-26,STLMT FOR AU QR 26/05/2024 VPA-1218878,4323,-,"24,056.00","43,589.50"
2024-05-26,2024-05-26,IMPS-414711492380-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,414711492380,"24,150.00",-,"19,439.50"
2024-05-26,2024-05-26,STLMT FOR AU QR 26/05/2024 VPA-1218878,16347,-,"82,070.00","101,509.50"
2024-05-27,2024-05-27,STLMT FOR AU QR 27/05/2024 VPA-1218878,19160,-,"37,158.00","138,667.50"
2024-05-27,2024-05-27,IMPS-414809515791-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,414809515791,"119,200.00",-,"19,467.50"
2024-05-27,2024-05-27,STLMT FOR AU QR 27/05/2024 VPA-1218878,16849,-,"60,520.00","79,987.50"
2024-05-27,2024-05-27,IMPS-414821553364-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,414821553364,"60,500.00",-,"19,487.50"
2024-05-28,2024-05-28,STLMT FOR AU QR 28/05/2024 VPA-1218878,16454,-,"25,099.00","44,586.50"
2024-05-28,2024-05-28,STLMT FOR AU QR 28/05/2024 VPA-1218878,14233,-,"44,280.00","88,866.50"
2024-05-28,2024-05-28,IMPS-414919592487-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,414919592487,"64,400.00",-,"24,466.50"
2024-05-29,2024-05-29,STLMT FOR AU QR 29/05/2024 VPA-1218878,16192,-,"19,357.00","43,823.50"
2024-05-29,2024-05-29,STLMT FOR AU QR 29/05/2024 VPA-1218878,14525,-,"40,413.00","84,236.50"
2024-05-29,2024-05-29,IMPS-415021643728-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,415021643728,"64,790.00",-,"19,446.50"
2024-05-30,2024-05-30,STLMT FOR AU QR 30/05/2024 VPA-1218878,16755,-,"23,887.00","43,333.50"
2024-05-30,2024-05-30,STLMT FOR AU QR 30/05/2024 VPA-1218878,24461,-,"11,632.00","54,965.50"
2024-05-30,2024-05-30,STLMT FOR AU QR 30/05/2024 VPA-1218878,14222,-,"59,947.00","114,912.50"
2024-05-31,2024-05-31,STLMT FOR AU QR 31/05/2024 VPA-1218878,16355,-,"27,806.00","142,718.50"
2024-05-31,2024-05-31,STLMT FOR AU QR 31/05/2024 VPA-1218878,23971,-,598.00,"143,316.50"
2024-05-31,2024-05-31,STLMT FOR AU QR 31/05/2024 VPA-1218878,14385,-,"67,098.00","210,414.50"
2024-05-31,2024-05-31,IMPS-415220732045-FANZONE TECHNOLOGIES-YESB0000198-XXXXXXXXXXX1192-PSP SETTLEMENT,415220732045,"190,900.00",-,"19,514.50"
